# TCEQ regulated entities under the Electric Generating Facilities
# unit rule (8340), standby gensets at stores/schools/hospitals
# removed, most-likely-generation first. One RN per line.
# Use: permits_cli.py scrape --rn-file data/scrape_targets_egf.txt
RN101527943,WHARTON COUNTY POWER PARTNERS LP
RN111153185,DUKE ENERGY ONE INC
RN100665579,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION
RN110453131,ENCHANTED ROCK OPS LLC
RN100211689,HAYS ENERGY LLC
RN100816685,CITY OF AUSTIN
RN102552031,TARGA MIDSTREAM SERVICES LLC
RN111105045,ENCHANTED ROCK OPS LLC
RN111099115,ENCHANTED ROCK OPS LLC
RN111098679,ENCHANTED ROCK OPS LLC
RN110650058,NGO INDUSTRIAL HOLDINGS LLC
RN110650066,NGO INDUSTRIAL HOLDINGS LLC
RN102199486,BASILEIA INVESTMENTS  INC.
RN111091070,ENCHANTED ROCK OPS LLC
RN111090460,ENCHANTED ROCK OPS LLC
RN111084794,ENCHANTED ROCK OPS LLC
RN100812023,EL PASO WATER UTILITIES PUBLIC SERVICE BOARD
RN105342943,ENCHANTED ROCK OPS LLC
RN111075552,ENCHANTED ROCK OPS LLC
RN111074993,ENCHANTED ROCK OPS LLC
RN111074886,ENCHANTED ROCK OPS LLC
RN111074803,ENCHANTED ROCK OPS LLC
RN111074175,ENCHANTED ROCK OPS LLC
RN102984705,EL PASO WATER UTILITIES PUBLIC SERVICE BOARD
RN102286242,EL PASO WATER UTILITIES PUBLIC SERVICE BOARD
RN110069226,PERMIAN ADVANTAGE TOYAH LLC
RN110565843,PROENERGY SERVICES  LLC
RN101941284,AIR PRODUCTS LLC
RN105295802,EAST TEXAS ELECTRIC COOPERATIVE  INC.
RN106080914,CITY OF DENTON
RN106072846,BROWNSVILLE PUBLIC UTILITIES BOARD
RN111035838,ENCHANTED ROCK OPS LLC
RN104432109,ENCHANTED ROCK OPS LLC
RN111019840,ENCHANTED ROCK OPS LLC
RN102219326,ENCHANTED ROCK OPS LLC
RN111019873,ENCHANTED ROCK OPS LLC
RN111019774,ENCHANTED ROCK OPS LLC
RN106355746,ENCHANTED ROCK OPS LLC
RN111019717,ENCHANTED ROCK OPS LLC
RN111019246,ENCHANTED ROCK OPS LLC
RN110947363,PROENERGY SERVICES LLC
RN111004115,ENCHANTED ROCK OPS LLC
RN102596400,MIDLOTHIAN ENERGY LLC
RN106780653,FRAME SWITCH ENERGY  INC.
RN110990892,ENCHANTED ROCK OPS LLC
RN110971504,ENCHANTED ROCK OPS LLC
RN103792438,ENCHANTED ROCK OPS LLC
RN110966330,ENCHANTED ROCK OPS LLC
RN110966397,ENCHANTED ROCK OPS LLC
RN106037450,ENCHANTED ROCK OPS LLC
RN104245949,ENCHANTED ROCK OPS LLC
RN110966009,ENCHANTED ROCK OPS LLC
RN110966256,ENCHANTED ROCK OPS LLC
RN109261859,ENCHANTED ROCK OPS LLC
RN103792834,ENCHANTED ROCK OPS LLC
RN102219136,ENCHANTED ROCK OPS LLC
RN104722061,ENCHANTED ROCK OPS LLC
RN102617800,ENCHANTED ROCK OPS LLC
RN110964624,ENCHANTED ROCK OPS LLC
RN102553898,DCP OPERATING COMPANY  LP
RN102180205,BROWNSVILLE PUBLIC UTILITIES BOARD
RN110954476,ENCHANTED ROCK OPS LLC
RN106425242,FRIENDSWOOD ENERGY GENCO  LLC
RN110947520,ENCHANTED ROCK OPS LLC
RN110947967,ENCHANTED ROCK OPS LLC
RN105164529,ENCHANTED ROCK OPS LLC
RN104231824,ENCHANTED ROCK OPS LLC
RN110944618,ENCHANTED ROCK OPS LLC
RN110944949,ENCHANTED ROCK OPS LLC
